plant_type,infection_short_name,infection_full_name,severity_level,visible_symptoms,treatment_description,biological_control,chemical_control,prevention_steps
Potato,Early Blight,Early Blight (Alternaria solani),Critical,Brown lesions with concentric rings on foliage; stem collar lesions possible,On Potato: Remove lower infected leaves; apply labeled Alternaria fungicide rotation,Bacillus-based biofungicides and compost teas where permitted,Rotate chlorothalonil / mancozeb-class and labeled SDHI products,Start with disease-free transplants and sanitize benches
Tomato,Early Blight,Early Blight (Alternaria solani),Low,Brown lesions with concentric rings on foliage; stem collar lesions possible,On Tomato: Remove lower infected leaves; apply labeled Alternaria fungicide rotation,Bacillus-based biofungicides and compost teas where permitted,Use FRAC-diverse programs; avoid consecutive same-mode sprays,Avoid prolonged leaf wetness; balance fertility
Cucumber,Edema,Physiological Leaf Edema (environmental water imbalance),Medium,Leaf undersurface callusing after humid cool nights,On Cucumber: Reduce night irrigation; increase airflow; balance root vs leaf moisture,Maintain healthy roots to stabilize water uptake,No pesticide indicated,Train staff to distinguish edema from infection
Lettuce,Edema,Physiological Leaf Edema (environmental water imbalance),High,Raised watery bumps mistaken for pest damage,On Lettuce: Avoid overwatering on cool cloudy days,Pause unnecessary foliar biological sprays until resolved,Do not treat as fungal leaf spot,Prevent high RH with low transpiration nights
Pepper,Edema,Physiological Leaf Edema (environmental water imbalance),High,Corky blisters on leaf undersides from excess root pressure,On Pepper: Reduce night irrigation; increase airflow; balance root vs leaf moisture,Pause unnecessary foliar biological sprays until resolved,Focus on climate and irrigation corrections,Match irrigation to light/transpiration
Tomato,Edema,Physiological Leaf Edema (environmental water imbalance),High,Raised watery bumps mistaken for pest damage,On Tomato: Raise night temperature slightly and improve dehumidification,Not pathogen-driven; no biocontrol required,No pesticide indicated,Match irrigation to light/transpiration
Cucumber,Fusarium Wilt,Fusarium Wilt (Fusarium oxysporum),High,Stunting and progressive collapse from root-stem vascular infection,On Cucumber: Reduce plant stress and apply biological soil suppressants,Trichoderma and non-pathogenic Fusarium biocontrol strains,Disinfect tools and irrigation lines thoroughly,Avoid root injury; rotate bays when possible
Lettuce,Fusarium Wilt,Fusarium Wilt (Fusarium oxysporum),High,One-sided wilting; vascular browning in stem cross-section,On Lettuce: Remove wilted plants with roots; avoid moving infested soil,Compost-based suppressiveness programs,Soil treatments only where labels and regulations allow,Quarantine new transplants until scouted
Pepper,Fusarium Wilt,Fusarium Wilt (Fusarium oxysporum),Medium,Stunting and progressive collapse from root-stem vascular infection,On Pepper: Switch to resistant rootstock/cultivar; sanitize affected beds,Compost-based suppressiveness programs,Soil treatments only where labels and regulations allow,Resistant cultivars/rootstocks; clean media and trays
Potato,Fusarium Wilt,Fusarium Wilt (Fusarium oxysporum),Critical,Stunting and progressive collapse from root-stem vascular infection,On Potato: Remove wilted plants with roots; avoid moving infested soil,Trichoderma and non-pathogenic Fusarium biocontrol strains,Disinfect tools and irrigation lines thoroughly,Resistant cultivars/rootstocks; clean media and trays
Strawberry,Fusarium Wilt,Fusarium Wilt (Fusarium oxysporum),Low,Lower leaves yellow then wilt permanently despite moist soil,On Strawberry: Reduce plant stress and apply biological soil suppressants,Compost-based suppressiveness programs,Disinfect tools and irrigation lines thoroughly,Resistant cultivars/rootstocks; clean media and trays
Tomato,Fusarium Wilt,Fusarium Wilt (Fusarium oxysporum),Low,Stunting and progressive collapse from root-stem vascular infection,On Tomato: Remove wilted plants with roots; avoid moving infested soil,Trichoderma and non-pathogenic Fusarium biocontrol strains,Disinfect tools and irrigation lines thoroughly,Quarantine new transplants until scouted
Cucumber,Gray Mold,Gray Mold / Botrytis Blight (Botrytis cinerea),Low,"Gray fuzzy sporulation on flowers, fruit, and wounded tissue",On Cucumber: Reduce RH spikes; spot-treat with labeled Botrytis fungicide/biofungicide,Antagonist sprays on senescent tissue hotspots,Target flower and fruit zones; respect resistance guidelines,Avoid dense canopies and overnight free moisture
Lettuce,Gray Mold,Gray Mold / Botrytis Blight (Botrytis cinerea),Medium,Soft blossom blight and fruit rot with ash-gray mycelium,On Lettuce: Reduce RH spikes; spot-treat with labeled Botrytis fungicide/biofungicide,Biologicals rotated to reduce chemical reliance,Rotate FRAC-coded greenhouse Botrytis fungicides carefully,Avoid dense canopies and overnight free moisture
Pepper,Gray Mold,Gray Mold / Botrytis Blight (Botrytis cinerea),Low,Necrotic lesions on petals and stems under high humidity,On Pepper: Sanitize debris and adjust irrigation timing to morning only,Biologicals rotated to reduce chemical reliance,Rotate FRAC-coded greenhouse Botrytis fungicides carefully,Avoid dense canopies and overnight free moisture
Potato,Gray Mold,Gray Mold / Botrytis Blight (Botrytis cinerea),Critical,Soft blossom blight and fruit rot with ash-gray mycelium,On Potato: Sanitize debris and adjust irrigation timing to morning only,Trichoderma and Bacillus biofungicides preventively on flowers,Target flower and fruit zones; respect resistance guidelines,Harvest promptly; remove aborted fruit and petals daily
Strawberry,Gray Mold,Gray Mold / Botrytis Blight (Botrytis cinerea),Critical,"Gray fuzzy sporulation on flowers, fruit, and wounded tissue",On Strawberry: Sanitize debris and adjust irrigation timing to morning only,Trichoderma and Bacillus biofungicides preventively on flowers,Use protectant + specific Botrytis actives under high pressure,Harvest promptly; remove aborted fruit and petals daily
Tomato,Gray Mold,Gray Mold / Botrytis Blight (Botrytis cinerea),Medium,Soft blossom blight and fruit rot with ash-gray mycelium,On Tomato: Remove dead flowers and infected fruit; increase ventilation immediately,Biologicals rotated to reduce chemical reliance,Use protectant + specific Botrytis actives under high pressure,Avoid dense canopies and overnight free moisture
Cucumber,Heat Stress,Environmental Heat / VPD Stress Disorder,Medium,Bleached fruit shoulders and stalled growth,On Cucumber: Increase shading/ventilation; lower daytime setpoints; pulse irrigation,Keep biological spray programs off peak heat hours,No fungicide required; avoid phytotoxic sprays in heat,Shade cloth schedules; adequate air exchange
Lettuce,Heat Stress,Environmental Heat / VPD Stress Disorder,High,Bleached fruit shoulders and stalled growth,On Lettuce: Adjust VPD targets and protect fruit from direct hot radiation,No pathogen biological needed; maintain root-zone microbial health,No fungicide required; avoid phytotoxic sprays in heat,Shade cloth schedules; adequate air exchange
Pepper,Heat Stress,Environmental Heat / VPD Stress Disorder,High,"Leaf cupping, blossom drop, and sunscald under high temperature",On Pepper: Run fog/pad cooling if available; avoid midday heavy sprays,Supportive biostimulants only if labeled for stress mitigation,No fungicide required; avoid phytotoxic sprays in heat,Monitor canopy temperature; stage harvests for cooler hours
Potato,Heat Stress,Environmental Heat / VPD Stress Disorder,Medium,Bleached fruit shoulders and stalled growth,On Potato: Increase shading/ventilation; lower daytime setpoints; pulse irrigation,No pathogen biological needed; maintain root-zone microbial health,Anti-stress foliar nutrients only when label-safe,Monitor canopy temperature; stage harvests for cooler hours
Strawberry,Heat Stress,Environmental Heat / VPD Stress Disorder,Low,Wilting at peak day heat with recovery at night,On Strawberry: Increase shading/ventilation; lower daytime setpoints; pulse irrigation,Keep biological spray programs off peak heat hours,Anti-stress foliar nutrients only when label-safe,Monitor canopy temperature; stage harvests for cooler hours
Tomato,Heat Stress,Environmental Heat / VPD Stress Disorder,Medium,Wilting at peak day heat with recovery at night,On Tomato: Adjust VPD targets and protect fruit from direct hot radiation,Supportive biostimulants only if labeled for stress mitigation,Anti-stress foliar nutrients only when label-safe,Monitor canopy temperature; stage harvests for cooler hours
Potato,Late Blight,Late Blight (Phytophthora infestans),Critical,"Dark necrotic blotches expanding quickly under cool, wet greenhouse conditions","On Potato: Stop leaf wetness, quarantine bays, and follow extension late-blight alerts",Copper-alternative biofungicides labeled for Phytophthora where available,Rotate FRAC groups; include labeled systemics when risk is extreme,Monitor cool wet forecasts; remove infected material from the house
Tomato,Late Blight,Late Blight (Phytophthora infestans),Medium,"Dark necrotic blotches expanding quickly under cool, wet greenhouse conditions",On Tomato: Destroy infected debris immediately; tighten spray schedule; dry the canopy,Support plant vigor; avoid excess nitrogen that softens tissue,Follow local PHI and resistance-management rules strictly,Certified clean transplants; eliminate cull piles and volunteer hosts
Cucumber,Leaf Spot,Fungal Leaf Spot (Septoria / Cercospora / Alternaria spp.),High,Speckled foliage; lower leaves yellow and drop prematurely,On Cucumber: Increase airflow and begin a preventive leaf-spot spray rotation,Biological protectants during humid weather windows,Copper or protectant fungicides labeled for the crop,Start clean and avoid working wet plants
Lettuce,Leaf Spot,Fungal Leaf Spot (Septoria / Cercospora / Alternaria spp.),Medium,Small circular spots with dark borders and chlorotic halos,On Lettuce: Remove spotted leaves; apply labeled protectant fungicide,Biological protectants during humid weather windows,Rotate multi-site and single-site actives carefully,Space plants for rapid drying; scout weekly
Pepper,Leaf Spot,Fungal Leaf Spot (Septoria / Cercospora / Alternaria spp.),Medium,Small circular spots with dark borders and chlorotic halos,On Pepper: Sanitize debris and avoid wetting foliage during irrigation,Copper-alternative biologicals on a preventive schedule,Rotate multi-site and single-site actives carefully,Drip irrigation only; remove lower canopy debris
Potato,Leaf Spot,Fungal Leaf Spot (Septoria / Cercospora / Alternaria spp.),Critical,Small circular spots with dark borders and chlorotic halos,On Potato: Increase airflow and begin a preventive leaf-spot spray rotation,Biological protectants during humid weather windows,Copper or protectant fungicides labeled for the crop,Drip irrigation only; remove lower canopy debris
Strawberry,Leaf Spot,Fungal Leaf Spot (Septoria / Cercospora / Alternaria spp.),Low,Small circular spots with dark borders and chlorotic halos,On Strawberry: Sanitize debris and avoid wetting foliage during irrigation,Copper-alternative biologicals on a preventive schedule,Copper or protectant fungicides labeled for the crop,Drip irrigation only; remove lower canopy debris
Tomato,Leaf Spot,Fungal Leaf Spot (Septoria / Cercospora / Alternaria spp.),Critical,Speckled foliage; lower leaves yellow and drop prematurely,On Tomato: Increase airflow and begin a preventive leaf-spot spray rotation,Copper-alternative biologicals on a preventive schedule,Copper or protectant fungicides labeled for the crop,Start clean and avoid working wet plants
Cucumber,Mosaic Virus,Mosaic Virus Complex (TMV / CMV / PepMV-related symptoms),High,Chlorotic mosaic patterns and uneven fruit color/quality,On Cucumber: Remove infected plants; control insect vectors; sanitize hands/tools,"No direct antiviral biological; use vector biocontrol (e.g., beneficials vs aphids)",No viricide cures disease; manage vectors with labeled insecticides if required,Control aphids/thrips; remove weed hosts
Lettuce,Mosaic Virus,Mosaic Virus Complex (TMV / CMV / PepMV-related symptoms),Critical,Chlorotic mosaic patterns and uneven fruit color/quality,On Lettuce: Remove infected plants; control insect vectors; sanitize hands/tools,Predator/parasitoid programs to lower aphid/thrips pressure,No viricide cures disease; manage vectors with labeled insecticides if required,Do not touch healthy plants after handling symptomatic ones
Pepper,Mosaic Virus,Mosaic Virus Complex (TMV / CMV / PepMV-related symptoms),Critical,Mottled light/dark green mosaic on leaves; leaf distortion,On Pepper: No curative spray — rogue symptomatic plants and reset hygiene,Plant health biologicals only as supportive measures,Avoid tobacco products near tomato operations (TMV risk),Control aphids/thrips; remove weed hosts
Potato,Mosaic Virus,Mosaic Virus Complex (TMV / CMV / PepMV-related symptoms),Critical,Chlorotic mosaic patterns and uneven fruit color/quality,On Potato: No curative spray — rogue symptomatic plants and reset hygiene,Predator/parasitoid programs to lower aphid/thrips pressure,Avoid tobacco products near tomato operations (TMV risk),Control aphids/thrips; remove weed hosts
Strawberry,Mosaic Virus,Mosaic Virus Complex (TMV / CMV / PepMV-related symptoms),High,Chlorotic mosaic patterns and uneven fruit color/quality,On Strawberry: Quarantine new plants; replace severely affected blocks,Predator/parasitoid programs to lower aphid/thrips pressure,Disinfect tools with appropriate virucidal sanitizers,Control aphids/thrips; remove weed hosts
Tomato,Mosaic Virus,Mosaic Virus Complex (TMV / CMV / PepMV-related symptoms),Critical,Chlorotic mosaic patterns and uneven fruit color/quality,On Tomato: Remove infected plants; control insect vectors; sanitize hands/tools,Plant health biologicals only as supportive measures,Disinfect tools with appropriate virucidal sanitizers,Virus-free transplants; insect screens; worker hygiene
Cucumber,Nutrient Deficiency,Environmental Nutrient Disorder (N / K / Ca / Mg imbalance),Low,Interveinal chlorosis or marginal leaf burn without pathogen signs,On Cucumber: Flush salts if EC is high; adjust Ca/K balance for fruiting crops,Beneficial root microbes to improve nutrient uptake efficiency,Not a pathogen — use soluble fertilizers / chelates as labeled,Calibrate injectors weekly; tissue-test when symptoms appear
Lettuce,Nutrient Deficiency,Environmental Nutrient Disorder (N / K / Ca / Mg imbalance),Low,Interveinal chlorosis or marginal leaf burn without pathogen signs,On Lettuce: Flush salts if EC is high; adjust Ca/K balance for fruiting crops,"Compost teas only as supplements, not replacements for minerals",Avoid excess single-salt dumping that causes antagonism,Routine EC/pH logging; staged nutrition by crop phase
Pepper,Nutrient Deficiency,Environmental Nutrient Disorder (N / K / Ca / Mg imbalance),Low,Uniform yellowing or purpling linked to fertigation error,On Pepper: Recalibrate dosing pumps and monitor leaf tissue response,"Compost teas only as supplements, not replacements for minerals",Correct pH with approved acids/bases in fertigation,Routine EC/pH logging; staged nutrition by crop phase
Potato,Nutrient Deficiency,Environmental Nutrient Disorder (N / K / Ca / Mg imbalance),Low,Interveinal chlorosis or marginal leaf burn without pathogen signs,On Potato: Correct fertigation recipe; verify EC/pH; apply targeted nutrient correction,Beneficial root microbes to improve nutrient uptake efficiency,Correct pH with approved acids/bases in fertigation,Calibrate injectors weekly; tissue-test when symptoms appear
Strawberry,Nutrient Deficiency,Environmental Nutrient Disorder (N / K / Ca / Mg imbalance),Low,"Tip burn, blossom-end issues, or pale older leaves from imbalance",On Strawberry: Flush salts if EC is high; adjust Ca/K balance for fruiting crops,Mycorrhizae in soil/soilless systems where compatible,Correct pH with approved acids/bases in fertigation,Match recipe to crop (Tomato vs Lettuce differ strongly)
Tomato,Nutrient Deficiency,Environmental Nutrient Disorder (N / K / Ca / Mg imbalance),High,Uniform yellowing or purpling linked to fertigation error,On Tomato: Correct fertigation recipe; verify EC/pH; apply targeted nutrient correction,"Compost teas only as supplements, not replacements for minerals",Avoid excess single-salt dumping that causes antagonism,Routine EC/pH logging; staged nutrition by crop phase
Cucumber,Powdery Mildew,Powdery Mildew (Oidium / Podosphaera spp.),Critical,Sparse white mycelium on leaves progressing to chlorosis and defoliation,On Cucumber: Remove heavily infected tissue and spray labeled mildew protectant during cool hours,Bacillus subtilis or Bacillus amyloliquefaciens foliar sprays,Use labeled strobilurin fungicides only under high pressure; avoid overuse,Keep canopy thin and ventilate after irrigation or fog events
Lettuce,Powdery Mildew,Powdery Mildew (Oidium / Podosphaera spp.),High,Flour-like fungal coating on foliage and young stems; reduced vigor,"On Lettuce: Improve airflow, prune infected leaves, apply potassium bicarbonate or biofungicide early",Bacillus subtilis or Bacillus amyloliquefaciens foliar sprays,Use labeled strobilurin fungicides only under high pressure; avoid overuse,Avoid overhead irrigation; scout weekly for first mildew colonies
Pepper,Powdery Mildew,Powdery Mildew (Oidium / Podosphaera spp.),Medium,Flour-like fungal coating on foliage and young stems; reduced vigor,"On Pepper: Improve airflow, prune infected leaves, apply potassium bicarbonate or biofungicide early",Bacillus subtilis or Bacillus amyloliquefaciens foliar sprays,Rotate sulfur or myclobutanil-group products by FRAC code; observe PHI,"Maintain spacing, lower overnight RH, sanitize tools between plants"
Potato,Powdery Mildew,Powdery Mildew (Oidium / Podosphaera spp.),Medium,Sparse white mycelium on leaves progressing to chlorosis and defoliation,"On Potato: Isolate dense canopies, reduce leaf wetness, and start a preventive mildew program",Bacillus subtilis or Bacillus amyloliquefaciens foliar sprays,Rotate sulfur or myclobutanil-group products by FRAC code; observe PHI,"Maintain spacing, lower overnight RH, sanitize tools between plants"
Strawberry,Powdery Mildew,Powdery Mildew (Oidium / Podosphaera spp.),Low,White powdery patches on upper leaf surfaces; leaves yellow and curl,"On Strawberry: Isolate dense canopies, reduce leaf wetness, and start a preventive mildew program",Bacillus subtilis or Bacillus amyloliquefaciens foliar sprays,Use labeled strobilurin fungicides only under high pressure; avoid overuse,Keep canopy thin and ventilate after irrigation or fog events
Tomato,Powdery Mildew,Powdery Mildew (Oidium / Podosphaera spp.),Medium,Flour-like fungal coating on foliage and young stems; reduced vigor,"On Tomato: Isolate dense canopies, reduce leaf wetness, and start a preventive mildew program",Bacillus subtilis or Bacillus amyloliquefaciens foliar sprays,Apply potassium bicarbonate or wettable sulfur early; never mix oil + sulfur,"Maintain spacing, lower overnight RH, sanitize tools between plants"
Cucumber,Root Rot,Root Rot (Pythium / Phytophthora / Rhizoctonia complex),Low,Crown discoloration; cucumber plants collapse in poorly drained zones,On Cucumber: Improve drainage; reduce irrigation; drench with labeled oomycete product,Mycorrhizae / beneficial microbe drenches for suppression,Spot-drench only after confirming pathogen class,Keep root zone oxygenated and within crop-optimal moisture
Lettuce,Root Rot,Root Rot (Pythium / Phytophthora / Rhizoctonia complex),Critical,Crown discoloration; lettuce plants collapse in poorly drained zones,On Lettuce: Improve drainage; reduce irrigation; drench with labeled oomycete product,Compost-based biologicals in clean media mixes,Spot-drench only after confirming pathogen class,Use sterile media; avoid standing water under benches
Pepper,Root Rot,Root Rot (Pythium / Phytophthora / Rhizoctonia complex),Medium,Crown discoloration; pepper plants collapse in poorly drained zones,On Pepper: Remove severely affected plants; sanitize media and emitters,Trichoderma harzianum and Bacillus root-zone inoculants,Labeled mefenoxam / propamocarb / etridiazole products as permitted,Use sterile media; avoid standing water under benches
Potato,Root Rot,Root Rot (Pythium / Phytophthora / Rhizoctonia complex),High,Wilting despite moist media; brown soft roots; stunted growth,On Potato: Correct overwatering and apply biological root protectant,Compost-based biologicals in clean media mixes,Rotate oomycete chemistries; do not rely on a single FRAC group,Keep root zone oxygenated and within crop-optimal moisture
Strawberry,Root Rot,Root Rot (Pythium / Phytophthora / Rhizoctonia complex),Low,Wilting despite moist media; brown soft roots; stunted growth,On Strawberry: Remove severely affected plants; sanitize media and emitters,Trichoderma harzianum and Bacillus root-zone inoculants,Labeled mefenoxam / propamocarb / etridiazole products as permitted,Use sterile media; avoid standing water under benches
Tomato,Root Rot,Root Rot (Pythium / Phytophthora / Rhizoctonia complex),High,Wilting despite moist media; brown soft roots; stunted growth,On Tomato: Remove severely affected plants; sanitize media and emitters,Mycorrhizae / beneficial microbe drenches for suppression,Labeled mefenoxam / propamocarb / etridiazole products as permitted,Use sterile media; avoid standing water under benches
Lettuce,Soft Rot,Bacterial Soft Rot (Pectobacterium / Dickeya spp.),Critical,Rapid liquefaction of infected tissue under high moisture,On Lettuce: Reduce free water; discard severely infected heads/tubers,Beneficial microbes on healthy tissue only as preventives,Disinfectants on tools/surfaces; copper of limited value on soft rot,Do not over-irrigate near harvest
Pepper,Soft Rot,Bacterial Soft Rot (Pectobacterium / Dickeya spp.),Medium,Mushy petiole/stem rot after wounding in wet conditions,On Pepper: Reduce free water; discard severely infected heads/tubers,Beneficial microbes on healthy tissue only as preventives,Focus on hygiene chemistry rather than plant sprays,Do not over-irrigate near harvest
Potato,Soft Rot,Bacterial Soft Rot (Pectobacterium / Dickeya spp.),Medium,Rapid liquefaction of infected tissue under high moisture,On Potato: Reduce free water; discard severely infected heads/tubers,Beneficial microbes on healthy tissue only as preventives,Disinfectants on tools/surfaces; copper of limited value on soft rot,Avoid wounds; keep foliage and harvest zones dry
Tomato,Soft Rot,Bacterial Soft Rot (Pectobacterium / Dickeya spp.),Critical,Watery foul-smelling soft tissue collapse on stems or stored organs,On Tomato: Reduce free water; discard severely infected heads/tubers,Limited; rely on sanitation and dry handling,Disinfectants on tools/surfaces; copper of limited value on soft rot,Do not over-irrigate near harvest
Pepper,Tomato Yellow Leaf Curl,Tomato Yellow Leaf Curl Virus (TYLCV),Critical,Small chlorotic leaflets and reduced fruit set,On Pepper: Install/repair insect screens; remove symptomatic tomatoes promptly,Encarsia / Eretmocerus whitefly parasitoids,Rotate labeled whitefly insecticides carefully to protect beneficials,Resistant cultivars; sealed greenhouse openings
Tomato,Tomato Yellow Leaf Curl,Tomato Yellow Leaf Curl Virus (TYLCV),Critical,"Upward leaf curling, yellowing margins, severe stunting",On Tomato: Rogue infected plants; intensify whitefly exclusion and control,Banker-plant strategies where established,Rotate labeled whitefly insecticides carefully to protect beneficials,Yellow sticky traps; weed-host removal
Cucumber,Anthracnose,Anthracnose (Colletotrichum spp.),High,Sunken circular fruit lesions with salmon-colored spore masses,On Cucumber: Sanitize harvest tools and cull symptomatic berries/fruit,Bacillus foliar programs during fruiting,Follow PHI closely near harvest,Use drip irrigation and adequate plant spacing
Pepper,Anthracnose,Anthracnose (Colletotrichum spp.),Critical,Blackened necrotic lesions on ripe fruit under warm humidity,On Pepper: Sanitize harvest tools and cull symptomatic berries/fruit,Cultural sanitation plus soft biologicals,Follow PHI closely near harvest,Use drip irrigation and adequate plant spacing
Strawberry,Anthracnose,Anthracnose (Colletotrichum spp.),Low,Blackened necrotic lesions on ripe fruit under warm humidity,On Strawberry: Reduce fruit wetness and begin protective sprays on ripening crop,Cultural sanitation plus soft biologicals,Rotate QoI / SDHI / multi-site fungicides labeled for anthracnose,Use drip irrigation and adequate plant spacing
Tomato,Anthracnose,Anthracnose (Colletotrichum spp.),Low,Dark leaf and stem spots; fruit rot near harvest,On Tomato: Sanitize harvest tools and cull symptomatic berries/fruit,Bacillus foliar programs during fruiting,Follow PHI closely near harvest,Use drip irrigation and adequate plant spacing
Pepper,Bacterial Canker,Bacterial Canker (Clavibacter michiganensis),Critical,Unilateral leaflet necrosis and open stem lesions,On Pepper: Isolate affected rows and replace contaminated media if needed,No strong curative biological control available,Copper sprays have limited suppression on foliage only,Scout for bird's-eye fruit spots early
Tomato,Bacterial Canker,Bacterial Canker (Clavibacter michiganensis),Critical,Unilateral leaflet necrosis and open stem lesions,On Tomato: Remove infected plants entirely; sanitize greenhouse thoroughly,No strong curative biological control available,Emphasize disinfectant protocols for structures and tools,Scout for bird's-eye fruit spots early
Cucumber,Bacterial Leaf Spot,Bacterial Leaf Spot (Xanthomonas / Pseudomonas spp.),Medium,Water-soaked leaf spots becoming necrotic with yellow halos,On Cucumber: Sanitize benches and reduce humidity spikes after irrigation,Copper-alternative biologicals labeled for bacterial diseases,Avoid phytotoxic overuse; follow greenhouse crop labels,Disease-free seed/transplants; minimize splash
Lettuce,Bacterial Leaf Spot,Bacterial Leaf Spot (Xanthomonas / Pseudomonas spp.),Medium,Small dark foliar spots spreading after splash irrigation,On Lettuce: Sanitize benches and reduce humidity spikes after irrigation,Phyllosphere beneficial sprays preventively,Avoid phytotoxic overuse; follow greenhouse crop labels,Disinfect tools between plants; keep walkways dry
Pepper,Bacterial Leaf Spot,Bacterial Leaf Spot (Xanthomonas / Pseudomonas spp.),Critical,Greasy angular lesions; fruit scabbing on tomato/pepper,On Pepper: Stop working wet plants; remove infected leaves; apply labeled copper program,Phyllosphere beneficial sprays preventively,Rotate with biologicals to reduce copper load,Disinfect tools between plants; keep walkways dry
Strawberry,Bacterial Leaf Spot,Bacterial Leaf Spot (Xanthomonas / Pseudomonas spp.),Medium,Water-soaked leaf spots becoming necrotic with yellow halos,On Strawberry: Stop working wet plants; remove infected leaves; apply labeled copper program,Bacillus antagonists and induced-resistance products,Avoid phytotoxic overuse; follow greenhouse crop labels,Disinfect tools between plants; keep walkways dry
Tomato,Bacterial Leaf Spot,Bacterial Leaf Spot (Xanthomonas / Pseudomonas spp.),Medium,Greasy angular lesions; fruit scabbing on tomato/pepper,On Tomato: Sanitize benches and reduce humidity spikes after irrigation,Copper-alternative biologicals labeled for bacterial diseases,Rotate with biologicals to reduce copper load,Avoid dense wet canopies overnight
Pepper,Bacterial Wilt,Bacterial Wilt (Ralstonia solanacearum),High,Rapid plant collapse without major leaf spotting,On Pepper: Reduce soil moisture extremes and eliminate adjacent hosts,Biological soil health programs to reduce pathogen fitness,Follow regional quarantine and disposal guidance,Sanitize irrigation and worker pathways
Potato,Bacterial Wilt,Bacterial Wilt (Ralstonia solanacearum),Critical,Rapid plant collapse without major leaf spotting,On Potato: Sanitize tools/boots; isolate bay; do not compost symptomatic material,No strong curative biological; emphasize exclusion,No reliable curative bactericide; copper has limited effect,Scout for early wilt and remove promptly
Tomato,Bacterial Wilt,Bacterial Wilt (Ralstonia solanacearum),Medium,Rapid plant collapse without major leaf spotting,On Tomato: Sanitize tools/boots; isolate bay; do not compost symptomatic material,Biological soil health programs to reduce pathogen fitness,Focus on sanitation chemistry for tools and surfaces,Certified clean planting material; avoid infested media
Pepper,Blossom End Rot,Blossom End Rot (calcium translocation disorder),High,Fruit lesions linked to irregular irrigation and high VPD,On Pepper: Remove affected fruit and normalize root-zone moisture,Root-health biologicals to improve Ca uptake consistency,Foliar/fruit calcium sprays as a temporary aid if labeled,Avoid excess ammonium nitrogen during fruiting
Strawberry,Blossom End Rot,Blossom End Rot (calcium translocation disorder),Low,Sunken dark leathery patches on fruit blossom end,On Strawberry: Stabilize irrigation; correct Ca supply and K:Ca ratio,Root-health biologicals to improve Ca uptake consistency,Foliar/fruit calcium sprays as a temporary aid if labeled,Even irrigation; adequate soluble calcium in recipe
Tomato,Blossom End Rot,Blossom End Rot (calcium translocation disorder),Low,Fruit lesions linked to irregular irrigation and high VPD,On Tomato: Stabilize irrigation; correct Ca supply and K:Ca ratio,Root-health biologicals to improve Ca uptake consistency,Foliar/fruit calcium sprays as a temporary aid if labeled,Even irrigation; adequate soluble calcium in recipe
Cucumber,Cucumber Mosaic,Cucumber Mosaic Virus (CMV),High,"Severe mosaic, leaf shoestringing, and fruit mottling",On Cucumber: No curative spray — focus on vector and rogueing,Banker plants for sustained aphid biocontrol,No viricide available for CMV,Virus-free seedlings; remove weed reservoirs
Lettuce,Cucumber Mosaic,Cucumber Mosaic Virus (CMV),Medium,Stunting with distorted younger leaves,On Lettuce: No curative spray — focus on vector and rogueing,Banker plants for sustained aphid biocontrol,No viricide available for CMV,Reflective mulches/screens; aphid monitoring
Pepper,Cucumber Mosaic,Cucumber Mosaic Virus (CMV),Medium,"Severe mosaic, leaf shoestringing, and fruit mottling",On Pepper: Sanitize and replace heavily affected cucumber rows,"Aphid parasitoids (Aphidius) and predators (lacewings, ladybirds)",Tool/surface disinfection between plants,Virus-free seedlings; remove weed reservoirs
Tomato,Cucumber Mosaic,Cucumber Mosaic Virus (CMV),Medium,Stunting with distorted younger leaves,On Tomato: No curative spray — focus on vector and rogueing,Supportive plant-health biologicals only,No viricide available for CMV,Worker hygiene between bays
Cucumber,Downy Mildew,Downy Mildew (Pseudoperonospora / Peronospora spp.),Critical,"Rapid blighting of young tissue in cool, humid nights",On Cucumber: Dry canopy urgently; remove infected leaves; apply labeled downy mildew product,Cultural drying + soft biologicals at first symptoms,Rotate CAA / QoI / multi-site products per extension guidance,Resistant cultivars when available; scout leaf undersides
Lettuce,Downy Mildew,Downy Mildew (Pseudoperonospora / Peronospora spp.),Critical,Oil-spot appearance on upper leaf surface with fuzzy underside growth,On Lettuce: Dry canopy urgently; remove infected leaves; apply labeled downy mildew product,Cultural drying + soft biologicals at first symptoms,Protectants ahead of cool humid nights,Resistant cultivars when available; scout leaf undersides
Strawberry,Downy Mildew,Downy Mildew (Pseudoperonospora / Peronospora spp.),Critical,"Rapid blighting of young tissue in cool, humid nights",On Strawberry: Increase night ventilation and start protectant/systemic rotation,Biofungicides as part of an IPM rotation,Use labeled downy mildew fungicides with strict FRAC rotation,Resistant cultivars when available; scout leaf undersides
Tomato,Downy Mildew,Downy Mildew (Pseudoperonospora / Peronospora spp.),Critical,Oil-spot appearance on upper leaf surface with fuzzy underside growth,On Tomato: Dry canopy urgently; remove infected leaves; apply labeled downy mildew product,Phosphite-compatible biological programs where labeled,Use labeled downy mildew fungicides with strict FRAC rotation,Avoid leaf wetness; improve horizontal airflow
